company;isin;index;drop;too_late;too_early;sector;supersektor;publication_date;fy_end;is_tax_in_ar;only_perc;elig_rev_abs;elig_capex_abs;elig_opex_abs;elig_rev_perc;elig_capex_perc;elig_opex_perc;alig_rev_abs;alig_capex_abs;alig_opex_abs;alig_rev_perc;alig_capex_perc;alig_opex_perc;rev_total;capex_total;opex_total;no_pages
MorphoSys;DE0006632003;SDAX;;;;Pharma & Healthcare;Pharma & Healthcare;17.03.2022;31.12.;no;yes;0;0;0;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;180;749;208;2
Nagarro;DE000A3H2200;SDAX;x;x;;Software;Information Technology;29.04.2022;31.12.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
New Work;DE000NWRK013;SDAX;;;;Software;Information Technology;25.03.2022;31.12.;no;yes;0;n.a.;n.a.;0;8;9;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;291;n.a.;n.a.;1,5
Nordex;DE000A0D6554;SDAX;;;;Industrial;Industrials;29.03.2022;31.12.;no;yes;5443;210;69;100;94,9;92,4;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;5444;221;75;4
Norma Group;DE000A1H8BV3;SDAX;;;;Industrial;Industrials;23.03.2022;31.12.;yes;no;263;3;4;24,1;5;6,9;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1092;56;53;4
Patrizia;DE000PAT1AG3;SDAX;x;;;Financial Services;FIRE;17.03.2022;31.12.;yes;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Pfeiffer Vacuum;DE0006916604;SDAX;;;;Industrial;Industrials;29.03.2022;31.12.;yes;yes;0;n.a.;n.a.;0;33,4;8,3;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;771;n.a.;n.a.;1,5
PVA Tepla;DE0007461006;SDAX;;;;Industrial;Industrials;24.03.2022;31.12.;no;yes;0;0;0;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;156;n.a.;n.a.;2
RTL Group;LU0061462528;SDAX;x;x;;Media;Consumer Services;27.04.2022;31.12.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
S&T;AT0000A0E9W5;SDAX;;;;Technology;Information Technology;21.03.2022;31.12.;yes;yes;958;n.a.;n.a.;71,4;76,3;56;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1342;n.a.;n.a.;3
SAF-Holland;DE000SAFH001;SDAX;;;;Industrial;Industrials;17.03.2022;31.12.;no;yes;0;n.a.;0;0;0,5;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1247;n.a.;n.a.;1
Salzgitter;DE0006202005;SDAX;;;;Basic Resources;Basic Materials;21.03.2022;31.12.;no;yes;3712;n.a.;n.a.;38;75;92;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;9767;n.a.;n.a.;1,5
Schaeffler;DE000SHA0159;SDAX;;;;Automobile;Consumer Goods;08.03.2022;31.12.;no;yes;693;n.a.;n.a.;5;25;3;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;13852;n.a.;n.a.;1,5
secunet Security Networks;DE0007276503;SDAX;;;;Software;Information Technology;25.03.2022;31.12.;yes;yes;0;n.a.;n.a.;0;17;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;338;n.a.;n.a.;1
SGL Carbon;DE0007235301;SDAX;;;;Chemicals;Basic Materials;24.03.2022;31.12.;yes;yes;403;22;31;40;44;46;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1007;50;67;1,5
Shop Apotheke Europe;NL0012044747;SDAX;;;;Retail;Consumer Services;02.03.2022;31.12.;yes;yes;0;0;0;0;0;13,7;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1060;n.a.;n.a.;1,5
Sixt;DE0007231326;SDAX;;;;Transportation & Logistics;Industrials;30.03.2022;31.12.;yes;yes;2215;3874;283;97;99;95;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2284;3913;298;2,5
SMA Solar Technology;DE000A0DJ6J9;SDAX;;;;Industrial;Industrials;31.03.2022;31.12.;yes;no;1013;72;56;100;100;100;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1013;72;56;1
Stabilus;LU1066226637;SDAX;x;;x;Industrial;Industrials;10.12.2021;30.09.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Sto;DE0007274136;SDAX;;x;;Consumer;Consumer Goods;28.04.2022;31.12.;yes;no;852;53;9;53,6;45;22,2;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1591;119;39;n.a.
Stratec;DE000STRA555;SDAX;;;;Pharma & Healthcare;Pharma & Healthcare;30.03.2022;31.12.;yes;no;0;1;0;0;5;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;287;21;10;1,5
Südzucker;DE0007297004;SDAX;;x;;Food & Beverages;Consumer Goods;19.05.2022;28.02.;yes;no;845;40;26;11,1;11,3;8,6;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;7599;351;298;n.a.
SUSE;LU2333210958;SDAX;x;;;Software;Information Technology;20.01.2022;31.10.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Synlab;DE000A2TSL71;SDAX;x;;;Pharma & Healthcare;Pharma & Healthcare;16.03.2022;31.12.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Takkt;DE0007446007;SDAX;;;;Retail;Consumer Services;30.03.2022;31.12.;no;no;0;11;2;0;40;21;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1118;27;10;2,5
Traton;DE000TRAT0N7;SDAX;;;;Industrial;Industrials;15.03.2022;31.12.;yes;yes;28783;8652;1104;94;96;96;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;30620;9013;1150;3
Verbio;DE000A0JL9W6;SDAX;x;x;;Industrial;Industrials;27.09.2022;30.06.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Vitesco Technologies;DE000VTSC017;SDAX;;;;Automobile;Consumer Goods;25.03.2022;31.12.;yes;no;17;164;70;0,2;25,9;9,2;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;8349;631;762;2,5
Wacker Neuson;DE000WACK012;SDAX;;;;Industrial;Industrials;29.03.2022;31.12.;no;no;29;14;0;1,6;13,6;0,4;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1866;99;53;5
ZEAL Network;DE000ZEAL241;SDAX;x;;;Retail;Consumer Services;24.03.2022;31.12.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;83;n.a.;n.a.;n.a.
