company;isin;index;drop;too_late;too_early;sector;supersektor;publication_date;fy_end;is_tax_in_ar;only_perc;elig_rev_abs;elig_capex_abs;elig_opex_abs;elig_rev_perc;elig_capex_perc;elig_opex_perc;alig_rev_abs;alig_capex_abs;alig_opex_abs;alig_rev_perc;alig_capex_perc;alig_opex_perc;rev_total;capex_total;opex_total;no_pages
Commerzbank;DE000CBK1001;MDAX;x;;;Banks;FIRE;28.03.2022;31.12.;yes;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
CTS Eventim;DE0005470306;MDAX;;;;Media;Consumer Services;24.03.2022;31.12.;no;no;191;16;18;47;49;55;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;408;34;33;3
Deutsche Lufthansa;DE0008232125;MDAX;;;;Transportation & Logistics;Industrials;03.03.2022;31.12.;yes;yes;336;n.a.;n.a.;2;2;4;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;16811;n.a.;n.a.;1
Deutsche Wohnen;DE000A0HN5C6;MDAX;x;;;Financial Services;FIRE;31.03.2022;31.12.;yes;yes;n.a.;n.a.;n.a.;88;97;97;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;4
Dürr;DE0005565204;MDAX;;;;Industrial;Industrials;17.03.2022;31.12.;yes;yes;534;66;10;15,1;29,4;8,1;534;58;10;15;26;8;3537;226;123;5,5
Evonik Industries;DE000EVNK013;MDAX;;;;Chemicals;Basic Materials;03.03.2022;31.12.;yes;no;2444;222;103;16;21;13;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;14955;1065;792;2
Evotec;DE0005664809;MDAX;;x;;Pharma & Healthcare;Pharma & Healthcare;12.04.2022;31.12.;no;yes;0;0;0;0;3,5;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;618;n.a.;n.a.;n.a.
Fraport;DE0005773303;MDAX;;;;Transportation & Logistics;Industrials;15.03.2022;31.12.;yes;yes;382;682;24;17,8;61,3;30,2;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2143;1113;79;1,5
Freenet;DE000A0Z2ZZ5;MDAX;;;;Telecommunication;Telecommunication;25.03.2022;31.12.;yes;yes;3;5;5;0,1;4,4;15,9;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2556;122;34;2
Fuchs Petrolub;DE000A3E5D64;MDAX;;;;Chemicals;Basic Materials;18.03.2022;31.12.;yes;yes;0;n.a.;n.a.;0;40;5;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2871;n.a.;n.a.;2
GEA Group;DE0006602006;MDAX;;;;Industrial;Industrials;03.03.2022;31.12.;yes;yes;293;n.a.;n.a.;6,2;6,8;3,1;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;4703;n.a.;n.a.;4
Gerresheimer;DE000A0LD6E6;MDAX;;;;Pharma & Healthcare;Pharma & Healthcare;17.02.2022;30.11.;no;no;0;35;ins;0;13;ins;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1498;264;53436;3
Grand City Properties;LU0775917882;MDAX;x;;;Financial Services;FIRE;16.03.2022;31.12.;no ;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Hugo Boss;DE000A1PHFF7;MDAX;;;;Consumer;Consumer Goods;10.03.2022;31.12.;yes;no;0;ins;ins;0;ins;ins;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2786;257;1493;1,5
Hypoport;DE0005493365;MDAX;x;;;Financial Services;FIRE;28.03.2022;31.12.;no;no;0;18;0;0;34;8;0;0;0;0;0;0;446;53;4;5
Jungheinrich;DE0006219934;MDAX;;;;Industrial;Industrials;31.03.2022;31.12.;yes;yes;2332;n.a.;n.a.;55;2;4;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;4240;n.a.;n.a.;2,5
K+S;DE000KSAG888;MDAX;;;;Chemicals;Basic Materials;10.03.2022;31.12.;yes;yes;0;n.a.;n.a.;0;0,6;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;3213;n.a.;n.a.;2,5
Kion Group;DE000KGX8881;MDAX;;;;Industrial;Industrials;03.03.2022;31.12.;no;no;3272;586;141;31,8;59,7;83,2;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;10294;983;170;n.a.
Knorr-Bremse;DE000KBX1006;MDAX;;;;Industrial;Industrials;31.03.2022;31.12.;yes;yes;536;0;n.a.;8;30;3;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;6706;0;n.a.;2
Lanxess;DE0005470405;MDAX;;;;Chemicals;Basic Materials;11.03.2022;31.12.;yes;yes;1663;n.a.;n.a.;22;4;15;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;7557;n.a.;n.a.;3
LEG Immobilien;DE000LEG1110;MDAX;x;;;Financial Services;FIRE;10.03.2022;31.12.;yes;n.a.;135;439;15;13,4;18,7;11,3;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1015;2343;134;n.a.
Nemetschek;DE0006452907;MDAX;;;;Software;Information Technology;22.03.2022;31.12.;yes;no;n.a.;n.a.;n.a.;ins;ins;ins;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;681;n.a.;n.a.;0,5
